time,gt_x,gt_y,gt_theta,ekf_x,ekf_y,ekf_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,gps_x,gps_y,imu_theta
0.000,0.000000,0.000000,0.000000,0.013586,-0.008624,-0.000000,0.04009980,0.04009980,0.00024404,0.000000,0.000000,0.000000
0.003,0.000000,0.000000,0.000000,0.013586,-0.008624,-0.000000,0.05009980,0.05009980,0.00091106,0.000000,0.000000,-0.000000
0.006,0.000000,-0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.00009980,0.00009980,0.00091106,0.000000,0.000000,-0.000000
0.018,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.01009980,0.01009980,0.00091106,0.000000,0.000000,-0.000000
0.024,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.00009980,0.00009980,0.00047673,0.000000,0.000000,-0.000000
0.030,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.00009980,0.00009980,0.00032283,0.000000,0.000000,-0.000000
0.033,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.01009980,0.01009980,0.00047673,0.000000,0.000000,-0.000000
0.034,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.00009980,0.00009980,0.00024404,0.000000,0.000000,-0.000000
0.036,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.01009980,0.01009980,0.00032283,0.000000,0.000000,-0.000000
0.038,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.01009980,0.01009980,0.00024404,0.000000,0.000000,-0.000000
0.039,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.01009980,0.01009980,0.00091106,0.000000,0.000000,-0.000000
0.046,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.02009980,0.02009980,0.00091106,0.000000,0.000000,-0.000000
0.053,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.01009980,0.01009980,0.00047673,0.000000,0.000000,-0.000000
0.056,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.02009980,0.02009980,0.00047673,0.000000,0.000000,-0.000000
0.059,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.01009980,0.01009980,0.00032283,0.000000,0.000000,-0.000000
0.078,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.01009980,0.01009980,0.00024404,0.000000,0.000000,-0.000000
0.080,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.02009980,0.02009980,0.00032283,0.000000,0.000000,-0.000000
0.109,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.02009980,0.02009980,0.00024404,0.000000,0.000000,-0.000000
0.116,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.02009980,0.02009980,0.00091106,0.000000,0.000000,-0.000000
0.130,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.02009980,0.02009980,0.00047673,0.000000,0.000000,-0.000000
0.137,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.03009980,0.03009980,0.00091106,0.000000,0.000000,-0.000000
0.143,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.02009980,0.02009980,0.00032283,0.000000,0.000000,-0.000000
0.146,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.03009980,0.03009980,0.00047673,0.000000,0.000000,-0.000000
0.167,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.02009980,0.02009980,0.00024404,0.000000,0.000000,-0.000000
0.173,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.03009980,0.03009980,0.00032283,0.000000,0.000000,-0.000000
0.182,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.03009980,0.03009980,0.00024404,0.000000,0.000000,-0.000000
0.203,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.02009980,0.02009980,0.00019617,0.000000,0.000000,-0.000000
0.214,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.03009980,0.03009980,0.00019617,0.000000,0.000000,-0.000000
0.217,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.03009980,0.03009980,0.00091068,0.000000,0.000000,-0.000000
0.218,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.04009980,0.04009980,0.00091068,0.000000,0.000000,-0.000000
0.219,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.03009980,0.03009980,0.00047663,0.000000,0.000000,-0.000000
0.221,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.03009980,0.03009980,0.00032278,0.000000,0.000000,-0.000000
