time,gt_x,gt_y,gt_theta,ekf_x,ekf_y,ekf_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,gps_x,gps_y,imu_theta
0.000,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.01009980,0.01009980,0.00032283,-0.016461,0.007387,-0.000000
0.003,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.01009980,0.01009980,0.00024404,-0.016461,0.007387,-0.000000
0.006,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.02009980,0.02009980,0.00091106,-0.016461,0.007387,-0.000000
0.007,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.02009980,0.02009980,0.00047673,-0.016461,0.007387,-0.000000
0.009,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.02009980,0.02009980,0.00032283,-0.016461,0.007387,-0.000000
0.010,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.02009980,0.02009980,0.00024404,-0.016461,0.007387,-0.000000
0.011,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.03009980,0.03009980,0.00091106,-0.016461,0.007387,-0.000000
0.012,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.03009980,0.03009980,0.00047673,-0.016461,0.007387,-0.000000
0.013,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.03009980,0.03009980,0.00032283,-0.016461,0.007387,-0.000000
0.014,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.03009980,0.03009980,0.00024404,-0.016461,0.007387,-0.000000
0.016,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.04009980,0.04009980,0.00091106,-0.016461,0.007387,-0.000000
0.018,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.04009980,0.04009980,0.00047673,-0.016461,0.007387,-0.000000
0.036,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.04009980,0.04009980,0.00032283,-0.016461,0.007387,-0.000000
0.045,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.04009980,0.04009980,0.00024404,-0.016461,0.007387,-0.000000
0.057,-0.000000,0.000000,-0.000000,-0.041916,-0.003307,-0.000000,0.04009980,0.04009980,0.00019617,-0.025160,0.016174,-0.000000
0.063,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.00009975,0.00009975,0.00019617,-0.025160,0.016174,-0.000000
0.069,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.01009975,0.01009975,0.00091068,-0.025160,0.016174,-0.000000
0.075,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.01009975,0.01009975,0.00047663,-0.025160,0.016174,-0.000000
0.085,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.01009975,0.01009975,0.00032278,-0.025160,0.016174,-0.000000
0.091,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.02009975,0.02009975,0.00091168,-0.025160,0.016174,-0.000000
0.107,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.02009975,0.02009975,0.00047690,-0.025160,0.016174,-0.000000
0.118,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.02009975,0.02009975,0.00032291,-0.025160,0.016174,-0.000000
0.125,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.02009975,0.02009975,0.00024409,-0.025160,0.016174,-0.000000
0.138,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.03009975,0.03009975,0.00091106,-0.025160,0.016174,-0.000000
0.144,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.03009975,0.03009975,0.00047673,-0.025160,0.016174,-0.000000
0.160,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.03009975,0.03009975,0.00032283,-0.025160,0.016174,-0.000000
0.163,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.03009975,0.03009975,0.00024404,-0.025160,0.016174,-0.000000
0.178,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.04009975,0.04009975,0.00091106,-0.025160,0.016174,-0.000000
0.181,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.04009975,0.04009975,0.00047673,-0.025160,0.016174,-0.000000
0.187,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.04009975,0.04009975,0.00032283,-0.025160,0.016174,-0.000000
0.203,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.04009975,0.04009975,0.00024404,-0.025160,0.016174,-0.000000
0.206,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.05009975,0.05009975,0.00091106,-0.025160,0.016174,-0.000000
0.221,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.05009975,0.05009975,0.00047673,-0.025160,0.016174,-0.000000
0.226,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.05009975,0.05009975,0.00032283,-0.025160,0.016174,-0.000000
0.243,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.05009975,0.05009975,0.00024404,-0.025160,0.016174,-0.000000
0.272,-0.000000,0.000000,-0.000000,-0.050629,0.005459,-0.000000,0.06009975,0.06009975,0.00091106,-0.000917,0.023042,-0.000000
0.273,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.00009983,0.00009983,0.00091106,-0.000917,0.023042,-0.000000
0.274,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.00009983,0.00009983,0.00047673,-0.000917,0.023042,-0.000000
0.274,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.00009983,0.00009983,0.00032283,-0.000917,0.023042,-0.000000
0.278,-0.000000,0.000000,-0.000000,-0.048565,0.012577,-0.000000,0.04009980,0.04009980,0.00047673,-0.000917,0.023042,-0.000000
0.285,-0.000000,0.000000,-0.000000,-0.048565,0.012577,-0.000000,0.04009980,0.04009980,0.00024404,-0.000917,0.023042,-0.000000
0.286,-0.000000,0.000000,-0.000000,-0.048565,0.012577,-0.000000,0.05009980,0.05009980,0.00091106,-0.000917,0.023042,-0.000000
0.288,-0.000000,0.000000,-0.000000,-0.048565,0.012577,-0.000000,0.05009980,0.05009980,0.00047673,-0.000917,0.023042,-0.000000
0.289,-0.000000,0.000000,-0.000000,-0.048565,0.012577,-0.000000,0.05009980,0.05009980,0.00032283,-0.000917,0.023042,-0.000000
0.290,-0.000000,0.000000,-0.000000,-0.048565,0.012577,-0.000000,0.05009980,0.05009980,0.00024404,-0.000917,0.023042,-0.000000
0.291,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.00009980,0.00009980,0.00024404,-0.000917,0.023042,-0.000000
0.292,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.01009980,0.01009980,0.00091106,-0.000917,0.023042,-0.000000
0.292,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.01009980,0.01009980,0.00047673,-0.000917,0.023042,-0.000000
0.293,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.01009980,0.01009980,0.00032283,-0.000917,0.023042,-0.000000
0.294,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.00009983,0.00009983,0.00024404,-0.000917,0.023042,-0.000000
0.294,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.01009983,0.01009983,0.00091106,-0.000917,0.023042,-0.000000
0.295,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.01009980,0.01009980,0.00024404,-0.000917,0.023042,-0.000000
0.298,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.01009983,0.01009983,0.00047673,-0.000917,0.023042,-0.000000
0.300,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.02009980,0.02009980,0.00091106,-0.000917,0.023042,-0.000000
0.312,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.01009983,0.01009983,0.00032283,-0.000917,0.023042,-0.000000
0.314,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.02009980,0.02009980,0.00047673,-0.000917,0.023042,-0.000000
0.318,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.01009983,0.01009983,0.00024404,-0.000917,0.023042,-0.000000
0.319,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.02009980,0.02009980,0.00032283,-0.000917,0.023042,-0.000000
0.331,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.02009980,0.02009980,0.00024404,-0.000917,0.023042,-0.000000
0.335,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.02009983,0.02009983,0.00091106,-0.000917,0.023042,-0.000000
0.339,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.03009980,0.03009980,0.00091106,-0.000917,0.023042,-0.000000
0.341,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.02009983,0.02009983,0.00047673,-0.000917,0.023042,-0.000000
0.355,-0.000000,0.000000,-0.000000,-0.026449,0.012336,-0.000000,0.02009983,0.02009983,0.00032283,-0.000917,0.023042,-0.000000
0.357,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.03009980,0.03009980,0.00047673,-0.000917,0.023042,-0.000000
0.366,-0.000000,0.000000,-0.000000,-0.024388,0.019448,-0.000000,0.03009980,0.03009980,0.00032283,-0.000917,0.023042,-0.000000
