time,gt_x,gt_y,gt_theta,ekf_x,ekf_y,ekf_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,gps_x,gps_y,imu_theta
0.000,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.50901710,0.50901710,0.00238613,-0.128212,0.688114,-0.000000
0.001,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.60901710,0.60901710,0.00839708,-0.128212,0.688114,-0.000000
0.002,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.60901710,0.60901710,0.00456435,-0.128212,0.688114,-0.000000
0.002,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.60901710,0.60901710,0.00313392,-0.128212,0.688114,-0.000000
0.003,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.60901710,0.60901710,0.00238613,-0.128212,0.688114,-0.000000
0.003,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.70901710,0.70901710,0.00839708,-0.128212,0.688114,-0.000000
0.004,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.70901710,0.70901710,0.00456435,-0.128212,0.688114,-0.000000
0.006,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.70901710,0.70901710,0.00313392,-0.128212,0.688114,-0.000000
0.007,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.70901710,0.70901710,0.00238613,-0.128212,0.688114,-0.000000
0.007,-0.000000,0.000000,0.000000,-0.479977,0.420243,-0.000000,0.80901710,0.80901710,0.00839708,-0.128212,0.688114,-0.000000
0.008,-0.000000,0.000000,0.000000,-0.619933,1.194721,-0.000000,0.30901701,0.30901701,0.00839708,-0.128212,0.688114,-0.000000
0.009,-0.000000,0.000000,0.000000,-0.619933,1.194721,-0.000000,0.30901701,0.30901701,0.00456435,-0.128212,0.688114,-0.000000
0.015,-0.000000,0.000000,0.000000,-0.619933,1.194721,-0.000000,0.30901701,0.30901701,0.00313392,-0.128212,0.688114,-0.000000
0.030,-0.000000,0.000000,0.000000,-0.619933,1.194721,-0.000000,0.30901701,0.30901701,0.00238613,-0.128212,0.688114,-0.000000
0.034,-0.000000,0.000000,0.000000,-0.619933,1.194721,-0.000000,0.40901701,0.40901701,0.00839708,-0.128212,0.688114,-0.000000
